line_item_id,quote_id,product_id,quantity,unit_price,total_price,warranty_id
LIN10728,QUO22778,PRO41627,18,6332,113976,WAR00001
LIN03926,QUO48546,PRO95982,9,8584,77256,WAR00002
LIN44989,QUO40080,PRO64828,10,8684,86840,WAR00003
LIN35255,QUO67150,PRO03838,2,8952,17904,WAR00004
LIN36969,QUO58665,PRO81999,17,3518,59806,WAR00005
LIN43408,QUO59697,PRO74373,7,7854,54978,WAR00006
LIN50098,QUO47287,PRO75076,10,8325,83250,WAR00007
LIN68380,QUO30650,PRO64828,8,8684,69472,WAR00008
LIN88680,QUO42085,PRO39806,3,7529,22587,WAR00009
LIN28169,QUO18076,PRO67890,18,4880,87840,WAR00010
LIN87416,QUO55504,PRO51045,13,8664,112632,WAR00011
LIN90432,QUO97762,PRO56174,14,9231,129234,WAR00012
LIN17780,QUO92354,PRO39806,9,7529,67761,WAR00013
LIN11924,QUO05616,PRO09500,5,6194,30970,WAR00014
LIN80626,QUO74774,PRO86898,5,9816,49080,WAR00015
LIN41958,QUO67020,PRO57903,17,6074,103258,WAR00016
LIN76966,QUO08235,PRO99910,15,7851,117765,WAR00017
LIN29716,QUO89300,PRO13996,6,9851,59106,WAR00018
LIN68835,QUO57320,PRO04233,3,5775,17325,WAR00019
LIN01332,QUO47673,PRO19301,1,5943,5943,WAR00020
LIN22441,QUO03038,PRO98085,18,9212,165816,WAR00021
LIN20669,QUO87409,PRO64828,4,8684,34736,WAR00022
LIN40164,QUO92836,PRO01485,7,8534,59738,WAR00023
LIN64303,QUO80134,PRO41627,6,6332,37992,WAR00024
LIN66069,QUO08944,PRO46773,15,9613,144195,WAR00025
LIN17496,QUO55608,PRO04233,6,5775,34650,WAR00026
LIN24291,QUO03681,PRO64122,17,4502,76534,WAR00027
LIN84529,QUO31724,PRO56174,14,9231,129234,WAR00028
LIN95432,QUO61663,PRO75076,12,8325,99900,WAR00029
LIN42672,QUO89653,PRO81999,15,3518,52770,WAR00030
LIN62673,QUO43517,PRO29563,9,4923,44307,WAR00031
LIN38660,QUO43741,PRO01485,10,8534,85340,WAR00032
LIN34887,QUO68897,PRO10732,9,9315,83835,WAR00033
LIN35042,QUO15967,PRO57903,5,6074,30370,WAR00034
LIN84711,QUO04879,PRO14992,11,5682,62502,WAR00035
LIN64322,QUO39620,PRO41627,2,6332,12664,WAR00036
LIN19821,QUO57822,PRO64497,6,7892,47352,WAR00037
LIN51856,QUO60496,PRO21215,13,4332,56316,WAR00038
LIN53332,QUO92644,PRO29563,6,4923,29538,WAR00039
LIN59396,QUO17980,PRO64828,7,8684,60788,WAR00040
LIN07941,QUO41481,PRO56174,17,9231,156927,WAR00041
LIN03699,QUO18770,PRO74373,11,7854,86394,WAR00042
LIN68904,QUO34143,PRO56174,3,9231,27693,WAR00043
LIN09498,QUO51678,PRO77206,18,7670,138060,WAR00044
